group,hemi,roi,source_file,n_vertices,gifti_file,label_file,numpy_file
body,lh,EBA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/body/lh.eba.nii.gz,614,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.eba.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.eba.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.eba.fsaverage6.npy
body,rh,EBA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/body/rh.eba.nii.gz,756,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.eba.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.eba.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.eba.fsaverage6.npy
face,lh,FFA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/face/lh.ffa.nii.gz,240,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.ffa.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.ffa.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.ffa.fsaverage6.npy
face,rh,FFA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/face/rh.ffa.nii.gz,446,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.ffa.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.ffa.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.ffa.fsaverage6.npy
object,lh,LOC,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/object/lh.loc.nii.gz,1650,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.loc.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.loc.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.loc.fsaverage6.npy
object,rh,LOC,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/object/rh.loc.nii.gz,1396,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.loc.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.loc.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.loc.fsaverage6.npy
face,lh,OFA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/face/lh.ofa.nii.gz,67,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.ofa.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.ofa.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.ofa.fsaverage6.npy
face,rh,OFA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/face/rh.ofa.nii.gz,294,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.ofa.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.ofa.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.ofa.fsaverage6.npy
scene,lh,OPA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/scene/lh.opa.nii.gz,282,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.opa.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.opa.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/lh.opa.fsaverage6.npy
scene,rh,OPA,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/scene/rh.opa.nii.gz,318,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.opa.fsaverage6.func.gii,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.opa.fsaverage6.label,/orcd/pool/006/zitonglu/Parcels/HighLevelVision/fsaverage6_parcels/rh.opa.fsaverage6.npy
