value,name,hemi,area,slug,n_voxels,n_vertices,gifti_file,label_file,numpy_file
1,LH_IFGorb,lh,IFGorb,ifgorb,370,186,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.ifgorb.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.ifgorb.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.ifgorb.fsaverage6.npy
2,LH_IFG,lh,IFG,ifg,743,293,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.ifg.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.ifg.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.ifg.fsaverage6.npy
3,LH_MFG,lh,MFG,mfg,462,250,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.mfg.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.mfg.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.mfg.fsaverage6.npy
4,LH_AntTemp,lh,AntTemp,anttemp,1627,795,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.anttemp.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.anttemp.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.anttemp.fsaverage6.npy
5,LH_PostTemp,lh,PostTemp,posttemp,2948,1801,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.posttemp.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.posttemp.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/lh.posttemp.fsaverage6.npy
7,RH_IFGorb,rh,IFGorb,ifgorb,370,180,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.ifgorb.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.ifgorb.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.ifgorb.fsaverage6.npy
8,RH_IFG,rh,IFG,ifg,743,327,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.ifg.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.ifg.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.ifg.fsaverage6.npy
9,RH_MFG,rh,MFG,mfg,462,256,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.mfg.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.mfg.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.mfg.fsaverage6.npy
10,RH_AntTemp,rh,AntTemp,anttemp,1627,798,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.anttemp.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.anttemp.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.anttemp.fsaverage6.npy
11,RH_PostTemp,rh,PostTemp,posttemp,2948,1810,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.posttemp.fsaverage6.func.gii,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.posttemp.fsaverage6.label,/Users/zitonglu/MIT Dropbox/Zitong Lu/Parcels/LanguageNetwork/fsaverage6_parcels/rh.posttemp.fsaverage6.npy
